"Points:0","Points:1","Points:2"
31.399,32.398,-447.92
31.15,32.532,-448.12
37.671,42.654,-446.56
37.676,42.329,-446.47
36.33,45.778,-448.24
37.085,44.658,-447.46
29.204,36.751,-450.48
29.173,36.969,-450.56
37.632,39.11,-445.65
37.529,38.493,-445.56
33.389,46.419,-450.31
34.051,46.683,-449.95
30.24,33.487,-448.96
30.132,33.651,-449.07
31.082,44.443,-451.28
31.626,45.139,-451.12
29.419,40.372,-451.29
29.815,41.706,-451.39
29.164,38.063,-450.85
29.227,39.087,-451.08
36.248,45.894,-448.32
37.178,37.1,-445.42
37.077,36.832,-445.41
36.62,35.828,-445.45
36.18,34.841,-445.47
37.578,43.047,-446.72
37.644,42.85,-446.62
35.096,46.551,-449.24
37.786,40.508,-445.92
30.026,33.922,-449.21
29.453,35.29,-449.94
36.069,34.689,-445.5
34.629,32.966,-445.98
36,46.071,-448.53
34.234,32.691,-446.17
33.885,32.66,-446.38
30.428,43.289,-451.4
32.423,45.902,-450.8
32.866,46.227,-450.6
