146.935	171.172
152.994	170.162
160.063	168.647
167.132	169.152
174.706	168.142
182.785	169.152
190.359	171.677
197.933	175.716
203.487	179.25
210.051	183.29
215.606	186.824
220.655	189.854
225.704	193.893
230.753	197.933
233.783	200.458
237.318	201.972
241.357	200.963
247.416	202.477
250.951	203.487
254.485	205.507
257.515	208.536
260.544	211.061
263.069	212.576
263.574	215.606
263.574	218.635
262.059	220.15
260.039	216.615
257.01	216.11
254.485	215.101
250.951	215.101
247.416	218.13
244.387	219.645
243.882	223.179
247.921	226.209
252.97	228.734
260.039	230.753
264.079	232.268
268.623	235.803
273.673	240.347
279.227	246.911
283.771	252.97
287.306	259.535
289.83	265.594
290.335	273.673
288.82	280.742
287.811	287.306
286.296	293.87
284.276	298.414
281.751	304.473
278.722	310.028
275.187	315.077
270.138	320.126
265.594	324.166
261.554	327.7
257.01	330.225
251.961	332.245
246.406	334.769
237.822	337.799
230.753	338.304
223.179	339.819
216.11	339.819
206.012	337.294
196.418	337.294
191.369	336.789
183.795	336.789
178.746	335.274
173.191	332.75
168.647	328.205
166.122	323.661
162.083	318.107
158.548	313.057
155.519	305.483
154.004	298.414
151.984	292.86
149.964	285.791
147.44	278.217
147.44	273.673
148.955	267.613
146.43	261.049
140.371	259.03
135.322	256
131.787	251.456
129.262	245.901
127.243	237.318
126.738	229.744
125.223	223.684
122.193	216.11
120.678	206.517
120.174	200.458
123.203	192.884
126.738	185.31
132.292	178.241
138.351	176.221
142.895	173.191

