139.648	173.34	32
147.949	168.457	32
158.691	166.016	32
169.922	165.039	32
179.199	165.039	32
189.453	166.992	32
197.266	171.875	32
204.101	176.269	32
213.379	181.641	32
221.191	188.476	32
229.492	194.824	32
231.933	196.777	32
236.328	196.777	32
242.187	196.777	32
247.558	196.777	32
251.465	198.73	32
255.371	201.66	32
258.301	203.613	32
261.23	207.519	32
263.183	211.914	32
262.207	213.867	32
257.812	214.355	32
254.883	212.891	32
250.976	212.891	32
247.07	214.844	32
243.652	215.332	32
241.699	218.75	32
247.07	223.144	32
251.953	225.586	32
260.742	227.051	32
264.648	228.516	32
269.043	233.887	32
274.414	239.746	32
278.808	247.558	32
281.738	256.348	32
280.273	265.625	32
277.344	274.414	32
270.508	283.691	32
264.16	291.504	32
257.324	298.828	32
250.488	305.176	32
243.652	310.547	32
239.258	313.965	32
232.91	317.871	32
224.609	321.289	32
214.355	323.73	32
205.078	324.707	32
195.801	325.683	32
186.523	326.172	32
180.176	327.148	32
174.805	327.148	32
167.48	324.219	32
163.086	319.824	32
158.203	314.453	32
155.762	309.57	32
152.832	304.199	32
151.855	297.851	32
151.367	292.969	32
150.391	287.109	32
147.949	279.785	32
146.484	276.367	32
144.043	271.484	32
141.601	267.578	32
136.23	264.16	32
133.301	259.277	32
130.859	254.883	32
128.906	250.976	32
127.93	245.605	32
127.441	239.746	32
127.441	234.375	32
125.976	229.98	32
123.535	226.074	32
120.117	221.68	32
119.141	215.82	32
116.699	208.008	32
116.211	199.219	32
120.605	193.359	32
125.488	187.012	32
130.859	181.152	32
132.324	178.223	33
138.184	173.828	33
144.531	168.945	33
150.391	166.016	33
159.18	165.039	33
168.457	165.039	33
177.734	165.039	33
186.035	166.504	33
195.801	170.41	33
204.101	175.781	33
212.891	182.129	33
221.191	187.5	33
228.027	192.383	33
236.328	195.312	33
242.187	195.801	33
246.582	196.289	33
252.93	199.219	33
257.324	202.637	33
258.789	206.055	33
260.254	210.937	33
260.742	213.867	33
259.765	216.308	33
257.324	221.191	33
252.441	221.68	33
248.047	221.191	33
240.723	221.191	33
242.676	226.562	33
249.023	229.004	33
255.371	229.492	33
258.789	229.98	33
263.183	231.933	33
268.066	234.863	33
271.484	238.769	33
275.39	243.164	33
277.832	248.535	33
280.762	256.348	33
281.25	261.23	33
281.738	267.09	33
280.273	272.461	33
278.808	278.32	33
275.39	283.691	33
272.461	289.551	33
270.996	295.41	33
266.601	300.293	33
262.207	305.176	33
256.836	310.058	33
249.023	316.406	33
241.699	321.777	33
234.375	325.683	33
225.098	329.101	33
214.355	331.543	33
202.637	332.519	33
187.988	333.496	33
181.641	331.543	33
174.805	329.59	33
167.969	326.172	33
163.086	323.73	33
157.226	319.824	33
155.273	314.941	33
153.32	308.594	33
152.344	302.734	33
149.414	295.41	33
149.414	291.504	33
150.391	284.668	33
145.508	277.832	33
139.16	270.019	33
135.742	265.625	33
130.859	259.765	33
128.418	254.394	33
127.441	247.558	33
126.953	241.211	33
126.953	234.375	33
124.023	227.539	33
120.605	220.215	33
117.676	213.379	33
116.211	208.008	33
116.211	202.148	33
119.141	196.777	33
122.07	191.406	33
125.976	185.547	33
129.394	181.641	33
145.019	167.969	34
151.367	165.527	34
